hotel_name,name,rating,review
Hotel Tentrem Semarang,Elaine Abigail Kwok,5.0,The place is big.it is really aesthetic. The swimming pool is so big the first time i went there i was shocked 😱🤯. Their breakfast is amazing though. Their room tv can be set to youtube their rooms are big and i love their bed it is very comfortable.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Firman Adi Prayogo,5.0,"Just one word, Amazing! My first stay at Tentrem Hotel was going very well as I have event there. The receptionist, Saskia (if I am not mistaken) gave me early check in and best room view ever (1709) if you prefer high floor. Furthermore, the breakfast is absolutely one thing that you have to enjoy! As they offer plenty variety of food and also famous Semarang street food. It is magic! Last, I appreciate Saskia when I did check out. She greets me with my name even before I gave my key card. I am truly honoured to stay at Tentrem Hotel Semarang. That is one thing that I never get at any hotel before. Fully recommend to stay here!"
Hotel Tentrem Semarang,Bobby Wibisono Wijaya,5.0,"I would like to recommend this place. The room was nice with all of the complementary of mini bar that free of charges. And what i really love is the breakfast staff at resto kayu manis specially zainal. Well most of the food contain sugar. I did mention to him about my diabetic issue and he really ask me about what kind of food i have to avoid, and ask the kitchen prepare it for me. Shout out to Zainal for taking care of me."
Hotel Tentrem Semarang,I love Food,4.0,"The rooms are spacious, clean, and very pretty. Although some of the paintings dod freak me out. Staff were very friendly. What stood out to me most is the breakfast! They had a variety of cuisine from all across the globe, and also local Semarang food. It was the highlight of my stay. For the pool, meh. It felt very awkward swimming in front of people having breakfast. There's no seperation fence/plants, so people could easily come in and out of the breakfast place to the pool. The outdoor breakfast area and the pool is so uncomfortably close. But it's alright. The beautiful tile art in the pool made up for it. The water felt very fresh and nice, didn't feel oddly chemical ish like some pools do. It's across Tentrem mall and very near citraland so you have a variety of food choices near walking distance. There's lots of local street food near the hotel too. My stay at Tentrem Jogja was a 5/5 but I would give Tentrem Semarang a 4/5."
Hotel Tentrem Semarang,Samuel Lumentut,4.0,"This is the most expensive hotel in Semarang. One group with Hotel Tentrem Jogja and Hotel Chanti not far from Hotel Tentrem Semarang. Own by Sido Muncul, the company who produces the world famous Tolak Angin brand. So where to start? Is it luxurious? You bet, service? Excellent, location? Almost all Semarang legendary foods are located within 15 to 20 minutes drive from the hotel which is Godsend. Breakfast? Although the international menus were a bit boring, they have stalls of more than 10 legendary Semarang food like Nasi Ayam Bu Pini, Gudeg Abimanyu, Asem Asem Koh Lim and many other. Oh don't forget to try their tolak angin ice cream. Its... Well ice cream with tolak angin taste... Literally. Its weird at first but its good the more you eat it. Pool also really great. Not too big but on 1 side they have transparent acrylic so it is so unique and cool to take photo at. The hotel is also connected directly to Tentrem mall. Upscale mall with not so many tenants but they have Ice Skating and cinema inside. They also have big aquarium with Arapaima fish native from Amazon river. Its great really. Alfamart is also like 25 steps away literally from hotel lobby should you want to buy water to stock into your room. Just perfect. So why 4 stars? Well.. Room is okay, aircon is cold. Bathroom also okay although the room that I stayed have no bathup. They have electric window that can be transparent or iced so you can't see inside. Pretty cool. The drapes are all provided by Serba Antik. The lifts also very high tech and basically has no button inside them. You push it outside the elevator where you wanna go. Very cool. They also give free minibar stocked with Sido Muncul products for you to try. So again why 4 stars? At this price I think the room should be a bit bigger, have bathup and fully carpeted. Granted they use some kind of marbles or Granite for the flooring, but for me personally plush carpet still make me feel like I'm in a 5 stars hotel instead of marbles or granite. The floor is cold to the touch always. If you use carpet it should be warm when you wanna just sit on the floor. Okay enough ranting. I'm kinda nitpicking over here. This hotel is not bad by any means. Might be the best in Semarang too, but well I'm not easily giving 5 stars anywhere. So this place should merit 4.5 stars for me. A great experience all in all... You should at least try once when you go to Semarang."
Hotel Tentrem Semarang,Andrieas Nanda,5.0,"The BEST hotel in Semarang. The Location near simpang 5 (best for street food) easy access to nearby famous local food. Complete facility for children and parent, large glass view swimming pool, playground, gym, jacuzzi, sauna. Forgot something? Don't worry Access to tentrem mall is as easy as walking around your home. FnB the best breakfast and dinner you can get in semarang"
Hotel Tentrem Semarang,Maya,5.0,"Impressed with Tentrem Hotel Yogyakarta, so we chose this hotel to stay while in Semarang. We stayed in not long after it’s opening in 2020. I loved the feeling when entering the Lobby, smell of Lemongrass was very comforting. In the corner you can found a cute Sido Muncul Cart displaying herbs drinks of Indonesia. The room is quite big. We slept in The double twin bed room. The bed is large enough to sleep one adult and one children. So if you’re a family with 2 small children, this room is perfectly fit! In the morning, breakfast was really really impressive yet surprising too. Literally, you don’t have to hustle round the city to have culinary experience. All the famous dishes in Semarang can be found here! From Nasi Ayam Bu Pini, Lumpia Semarang, Asem Asem Koh Lim, Soto Semarang, Wedang Kacang, es Marem etc. Can’t wait to have staycation again in this hotel someday"
Hotel Tentrem Semarang,Fifi Noveria,5.0,Great place to stay with your family. Located at the heart of Semarang city. Friendly staff. Large size swimming pool.Rooms: 4/5 | Service: 5/5 | Location: 5/5Hotel highlights Luxury …More
Hotel Tentrem Semarang,Handoko Limaho,5.0,"Truly the best Hotel in Semarang…when we were staying here with our family, the hotel was fully booked and we end up in the smoking room. However the management tries to remedy the situation by installing our room with ionizer and room purifier to disperse the scents. The facilities are amazing and especially the breakfast are to die for. We can get all the authentic Semarang food over here. Truly a must place to stay in Semarang"
Hotel Tentrem Semarang,Martinus,3.0,"Stayed at the hotel during max occupancy i think. Lines were long, waiting time were also long, request got overlooked. basically they should be working much more efficiently at high load, because Tentrem bears the title best hotel in SMG. However room service is great, food quality was great. Breakfast selection also great. Pool bar service, Health center, Kids area also maintained great service."
Hotel Tentrem Semarang,George Hadipoespito,4.0,"Great luxury hotel located in the heart of Semarang. Breakfast is the highlight: the restaurant serves samples of famous local heritage restaurants, it’s almost a complete Semarang culinary trip in one sitting. Unfortunately during this stay, service was a little slow: we had to wait almost 30 minutes to get a staff to unlock the connecting doors between our two rooms."
Hotel Tentrem Semarang,chandra amelia,5.0,"Tentrem Hotel never disappoint. Endless choices of breakfast buffet (ok, not endless, but they do have a vast array of breakfast delicacies), professional and friendly staffs (not to mention fast response too), and their pool is a must-see! Their gym opens until 11pm. Oh this one is also family friendly, the kids club is quite big and definitely entertaining."
Hotel Tentrem Semarang,Kiki Pratiwi,5.0,"I love my stay here. The staff are so friendly and very helpful. The ambience so lovely , combine between Javanese and Tionghoa. Love their breakfast variation menu. Will definitely stay there again when visit to Semarang."
Hotel Tentrem Semarang,Freddy Samad,5.0,"Superb hotel as it should carrying the name Tentrem. Room is fabulous and spacious, made with top notch material like mable bathroom and high thread count sheets. The window between the bathroom and the room is electronically dimmable by a flick of switch, I know smart glass existed for quite a while but it's still fancy nonetheless. Soundproof of the room is great, toilet is spotless, shower drainage works fast; everything as it should be. Breakfast is buffet type and has everything from continental to local Semarang delicacies and everything in between, even ice cream if you fancy your early dessert. Their barrister is also very good with their coffee creations, I love both their hot and cold coffees. They also has a great juice bar, sometimes making a acidic delight detox concoction. I highly recommend the breakfast as your stay package. Hotel facilities are also great, swimming pool looks good and there's a direct access to the small mall. Is it expensive? Yes. Would I return? Absolutely."
Hotel Tentrem Semarang,Sylfia Haryadi,5.0,Great hotel room and most facilities indoor and outdoor can enjoy for the whole family members.Food taste good 😋😋..a lot of choices kind of food local and international food.Service was excellent 👍👍... come and enjoy when stop by at Semarang.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Donny S,4.0,"Probably the most favorite hotel in Semarang now. Convenient location and is right next to a mall bearing the same name. Buffet spread was amazing: western, japanese and lots of Indonesian favorites. Probably one of the best in the city.Rooms: 5/5 | Service: 4/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Veronica Gunawan,5.0,"I could easily give 10 stars for this hotel! Wonderful 5 Star hotel with all of Semarang's iconic cuisines under one roof! I asked one of the chefs there. Apparently the hotel aims to provide local cuisines by buying them directly from the local vendors, so guests don't have to venture out in the heat to taste the local cuisines. Brilliant! It's also strategically located right at the city centre so it's very convenient and easy to get to other places like gift shops, restaurants, Lawang Sewu and Kota Lama. The staff were all so curteous, helpful and friendly, they make you feel at home right away. Even though we stayed during the high season when the hotel is fully booked, it's still easy to get help from the staff. Normally it would be very hard to get anything if the hotel is fully booked, but not here. I also fell in love with the peranakan-themed decor throughout the hotel, and the beautiful paintings they have there. I would definitely recommend this hotel to anyone, and can't wait to go back and stay there again."
Hotel Tentrem Semarang,Yuniati Wibowo,5.0,Good place to stay when you're in Semarang. The service is very good. The staffs are kind and helpfull. Breakfast is superb. Surely will be back to stay in Hotel Tentrem again when when we go to Semarang👍👍👍Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Cecilia Setiawan,5.0,"Not so big but comfy, the breakfast buffet is complete and quite deliciousThe service is excellentThe hotel is clean and follow the health protocol very wellRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Iwan Iskandar,5.0,"Will always be one of the best hotels in Semarang.Great Pool, the beautiful hotel room keys are allowed to bring home as souvenirs (free of charge)"
Hotel Tentrem Semarang,"Setyawan Antono, MBA",5.0,"Its the ultimate local chain hotel. So good, clean right at the center of Semarang city. Near to stalls even it has mall of its own."
Hotel Tentrem Semarang,lukianto wibowo,5.0,"Service are totally good. Food and beverage are awsome. Parking, pool and other facilities are great. City view are great as well. This is recomended and one of the best in Semarang. Can't wait to feel the same experience on Tentrem Jogja"
Hotel Tentrem Semarang,Roy Kurniawan,5.0,"Everything is so Five Star, Can I give them Diamond instead of star?Great ambience.Rooms: 5/5 | Service: 5/5 | Location: 5/5Hotel highlights Luxury …More"
Hotel Tentrem Semarang,Muhammad Ikhsan Al Farraby,5.0,"I think this is the best hotel in Semarang, Central Java. They offer great services, cozy room, and strategic location. Definitely gonna stay here again if I visit Semarang again in the future.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Riza Satria,2.0,"Service not as good as Tentrem Jogja.. especially breakfast service, staffs were not paying attention to who's first in queue, chaos inside the breakfast area, very low helping attitude among staffs to guests (helping open door, seating arrangements, cutting fruits, etc).. Should bring Tentrem Jogja staffs to help setting Tentrem's standard working culture to Tentrem Semarang.."
Hotel Tentrem Semarang,Heng Dju Ong,3.0,"Upscale place but also comes with very limited parking space. Even though it's at prime location, whenever anyone going to stay here just be prepare to compete for parking with all the mall visitors and what not."
Hotel Tentrem Semarang,Xtian Hyd,5.0,Great hotel for family members vacation... the food taste delicious 😋Spacious room with lemon grass aromatic.Recommended hotel when visit Semarang.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Asdani Kindarto,5.0,"The mall is perfect, but I still no experience in the hotel. So maybe the next chance if I have been there I will revise my star.Rooms: 4/5 | Service: 4/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Bryant Matthew Potro,5.0,"Great room, great services, great breakfast, its a good place to stay, but please revise your managing breakfast flow to avoid crowdingRooms: 5/5 | Service: 5/5 | Location: 4/5Hotel highlights Luxury, High-tech …More"
Hotel Tentrem Semarang,Chatrine Anindia,5.0,Food was so tastyyyy and deliciouss at Kayu Manis Restauranttt!!! Good ambience and feel so fancy & luxury! Great Restaurant with kind service from Vilan. Thank youuu Tentrem SemarangRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Tiffany,5.0,"The first thing you'll notice when you enter the hotel is the unique smell, you can smell ginger in the air in almost every area of the hotel. The room is pretty big and clean. They provide many choices and variations on breakfast. The staff are friendly and helpful. They sure are quite expensive, but it's equal to the quality and service they provide"
Hotel Tentrem Semarang,T. Cilik Pamungkas,5.0,Staff are helpful. There is a moment I got trouble with my car's accu and the concierge named Pak Iwan and Pak Fazal help me to run the car. Thank you Tentrem.
Hotel Tentrem Semarang,Tofik Indradjaja,5.0,"Very nice hotel. Great room, very friendly staff. The only negative thing is when I'm at the pool, I can't charge my food to the room. People usually don't bring wallet or anything to the pool.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Prawidhi Wahyuni,5.0,"Good service clean neat and nice room. Love Tentrem Hotel both in Semarang and Yogya.Rooms: 5/5 | Service: 5/5 | Location: 5/5Hotel highlights Luxury, Relaxing, Kid-friendly, High-tech …More"
Hotel Tentrem Semarang,Rocky Saputra,4.0,"Nice and clean hotel.The staff are helpful and quick in response.Have to improve how to handle the guests, especially in and after emergency evacuation.Rooms: 5/5 | Service: 4/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Yosephine Febiyanti,5.0,"Really nice hotel to stay, starting from the lobby, interior is really nice and soothing esp with the fragrance of lemongrass. Service is really good, room is modern n nice. And the best thing is the BREAKFAST!! You can have all Semarang/Central Java culinary in one place and all are good! Breakfast is much much recommended when you stay here."
Hotel Tentrem Semarang,Madison Greene,5.0,GREAT hotel. Some of the best service I have experienced when traveling. Top-notch!Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Amrina Rosyada,5.0,"Stayed for 2 nights and 2 days with my husband, we had a large room, clean and sufficient equipment. We had a great 'sahur' with variety menu from local and western food. The taste was good and fresh. This hotel is located next to the tentrem mall where you can find your needs or just killing your time. However, there was a kind of renovation infront of the hotel that made us uncomfortable for waiting outside the hotel main entrance. Though, this hotel deserves the 5 stars for the hospitality of the staffs, the well-managed & clean room, and delicious food."
Hotel Tentrem Semarang,Faela Sufa,5.0,"Arguably the best 5-star hotel in Semarang now. I love Tentrem’s chain. Breakfast selection is great, I love the fact that they serve getuk & plenty traditional food 😍"
Hotel Tentrem Semarang,Amalia,5.0,"It is true that Tentrem is the best hotel in Semarang (so far). It has huge pool, children playground, and endless choice of breakfast."
Hotel Tentrem Semarang,Nur Hardiansyah,5.0,"I really enjoy my visit on Hotel Tentrem. Its worth of money, the services are so excellent. They staff are delightful to assist for any needs of its customer.. The best hotel ever in Semarang with newly iconic building in Semarang they give you a great experience of staying. Many facilities served and superb ambience make it feels like a home."
Hotel Tentrem Semarang,Erwan Aji,5.0,"Luxury and comfortable place,but the parking to small...but they have service excellent...awsome"
Hotel Tentrem Semarang,Linna,5.0,"It was my first time to stay in this hotel. I love the ambience and the design. I enjoyed the pool and the jacuzzi so much. The gym was also not bad. I just have an unpleasant experience during our check in. We booked 5 rooms in the same floor, and when we arrived from 6 hours drive at 2 p.m the rooms wasn't ready yet. We told them again we want all rooms in a row and they said it's no problem. At 3 p.m the staff told us only two rooms ready and we need to wait for few minutes for the other 3 rooms because we wanted it in a row so we decided to give the two rooms to our parents so they can rest. I said but the check in time is 3 p.m. She said it's because there was only two cleaning services in one floor. I just don't understand how can that be our problem but I just let it go. Few minutes later I heard the staff who serve us told her friend to tell other staff that the rooms was booked by us and to not give it to other guest. And few minutes from that the staff told us that we can't get the room in a row. And if we want to get a room in a same floor, we need to wait another half an hour. I was dissapointed because I know they probably gave our booked room to another guest after we stand waiting for more than an hour but we were all tired for the long drive and we didn't get our room yet so we decided to have some rest in the two rooms while waiting for the other rooms to be ready and the staff promised us to deliver the other rooms key to our room at 16.15. But we waited and nobody came and we need to call them again before they finally come and give us the rest of the room keys. When I get to my room, I saw yellow stain in our closet. It was easily removed by wet tissue, but it was gross and I just don't think it should happen. I think the room service was in a hurry to prepare the room. So yeah the hotel is very nice, they just need to improve the service, especially the front desk and cleaning service. I still give them a five star because I really like the hotel and hope it was just a one time mistake, they will improve and it won't happen again to anyone."
Hotel Tentrem Semarang,chilmar x,5.0,Authentic Semarang food very delicious… yummy.. near every nice restaurant..
Hotel Tentrem Semarang,Handoko Taniwidjojo,5.0,Newly open.Large and convenient lobby.Great breakfast.Clean and great hospitalityRooms: 5/5 | Service: 4/5 | Location: 4/5 …More
Hotel Tentrem Semarang,Alexander Frantinus Bachtiar,5.0,"been to the junior suite once, it's no suprise that the place is clean, tidy, and overall felt like a hotel came str8 out of vegas, this is even in fact, in Semarang, Central Java's capital city"
Hotel Tentrem Semarang,Gustiyan Mahardika,5.0,"5star quality for me, even in breakfast buffet the staff treat you like you're a VIP.. Food delicious and room comfortable though doesn't have a bathtub for standard rooms like gumaya tower.. But the service is something elseRooms: 5/5 | Service: 5/5 | Location: 4/5 …More"
Hotel Tentrem Semarang,eriel priadi,5.0,"The room were clean, very comfortable, the breakfast beyond expectations, staff was amazing. Highly recommend this hotel for everyone"
Hotel Tentrem Semarang,Bernard Anthony,5.0,If you are into swimming this hotel is the best in town. Excellent gym facilities and sauna. Superb!!
Hotel Tentrem Semarang,Eric Wijanta,5.0,New hotel with a modern interior and comfortable rooms. Breakfast choices were ok..Rooms: 5/5 | Service: 4/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Max Suswendi,5.0,Tentrem has set as the one the best local luxury hotel chain in Indonesia. I have stayed in both of their property in Jogja and here in Semarang. The quality of Service and the Hospitaly are excellence. All their staff are friendly and helpful. The Rooms are beautiful and well decorated with good combination of traditional and modern theme. The Breakfast is one of the main reason to stay in this hotel. It is the best breakfast buffet that I ever had particulaly the local traditional food. Don’t forget to try their Roti Kukus. It is a perfect companion for a cup of black coffee. Definitely will stay again in this hotel if visiting Semarang.
Hotel Tentrem Semarang,Ainur Rifqi (angki),5.0,I understand why government choose this hotel for covid vaccine booster place. Nice & comfortable place to wait a queue jab. Organized person between Hotel staff & Medical personnel make feel better after vaccination.
Hotel Tentrem Semarang,soniviel wijaya,5.0,All staffs were polite and friendly...room was nice and beautifulRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Tyas Pramana,5.0,"Wonderful hotel to stay. Excellent service and top approach in health, covid measurement.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Catharina Jenny,5.0,Very excellent...nice ..clean...best recommended....the price isquite expensive..but its worth it...the breakfast so organized..the service so 👍👍..cant wait to be back againRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Randy Hartono,5.0,Awesome 😎 place to stay and have a great Chinese Halal Restaurant 🍴Best Menu and Served wellRecommendedRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Nugriaty Meialudina,5.0,"Very excellent hotel. All excellent, the hotel, the staff and the food. Very recommendedRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Ari Wardani,4.0,"Spacious room and bathroom, food, staffs, parking area and location are excellent. Only one thing to improve: the speed of the lifts. We have to wait long enough until the lift is available for us. A very unusual time of waiting for 5 star hotel criteria."
Hotel Tentrem Semarang,Iryn Lim,5.0,"Love the details and attention they put into decorating the hotel. The fine Chinese ware, oriental and Javanese touch make it so warm and welcoming. The breakfast consists of excellent selection namely local famous food like kohliem, soto bokoran, gudeg abimamyu… sushi, fresh juices, jamu, fresh beans coffee, Chinese, western, and a wide selections of breads. Rooms were clean and very comfortable bed. We enjoyed the stay and extended our stay with Tentrem. Two staff from the breakfast section were outstanding, Sunandar and Oky. Hope to be back there soon . Thank you Tentrem."
Hotel Tentrem Semarang,Silvie Hidayat,5.0,"Excellent... worth for the money, big twin bed, nice pool view, big pool, nice gym & jacuzzi, friendly & helpfull staff, so many choices & variation on breakfast... what a good mood booster... 😍Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Jeanne,5.0,"Worth every penny!Great service, friendly staff, cool technology for the lift. And the B2 got a charger for electric cars (50k/hour).Hoping to get to stay here again soon!Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Yulianto Widjasena,5.0,Convenient place for staycation. Services are great. Big and unique swimming pool.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Evie Yuliarti,5.0,Superb culinary experience on breakfast time!Many of Semarang’s popular local food are available. Wide range of Western breakfast in delicate taste.
Hotel Tentrem Semarang,Edwin Nurwinata,5.0,"Nice hotel. Clean, good servive, pool and good gym"
Hotel Tentrem Semarang,Herman Sulina,3.0,"Good location, but room quite small, everything here are too pricy compared to quality, slow wifi speed. Hard to recommend.Rooms: 3/5 | Service: 3/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Hari Woer,1.0,"Bad experience. Fire simulation without letting know customer. My wife was alone in the room and very panick when fire announcement. It made guest in panick and shocked and had to go out of the room only wearing ""daster"". It turned out it was only simulation. And no formal apologize from hotel event after I made complain to duty officer. So sad and disappointing knowing this luxury 5 or 6 star hotel doing such a disappointing service to guest. Will consider to not stay again in this hotel"
Hotel Tentrem Semarang,Erwin Intan,5.0,"Best hotel at the Semarang city. Room quite big, clean. The staff very2 polite and helpfull. Breakfast so many menu, there are stall of authentic Semarang's foods. The taste delicious..It's worthted too stay at this hotelRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Cindy h,4.0,Food 5 * Customer Service 5 *Restroom in room...always smells like pee coming from the other side....1 * Toilet always leaking 1 *Sink in toilet is soiled with MOLDRooms: 3/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Hengkyanto Santoso,5.0,"This hotel serving best breakfast in Semarang just next to the poolside... Great ambience, design, and lovely bathroom to complete with.. the mixture of Javanese and chinese culture cant get it wrong especially the disuniformity of the staffs uniform which make it looks so special and really detail... Stayed 5 nights here on November was quite sound and well..."
Hotel Tentrem Semarang,Hendra Santoso,5.0,"For sure this is the best hotel in town...traditional atmosphere, but also modern and elegant blended altogether.Excellent from the lobby, cleanliness and amenities in the room, plus the breakfast buffet variety foods, which include some local famous street food 👍👍"
Hotel Tentrem Semarang,Laily Lanisy,4.0,"The blend of Chinese and Javanese culture is felt throughout the hotel. Chinese ornaments and Batik ornaments are everywhere. I love it. The rooms are spacious, clean and comfortable. I almost gave five stars for this hotel. But, unfortunately the restaurant for breakfast which is located on the sixth floor was too crowded and hideous, so keeping a distance during this pandemic season is neglected. Date of visit: 22 November 2021 Room assigned: 1819"
Hotel Tentrem Semarang,Debby Andriani,5.0,"Thank you for the hospitality during our stay in tentrem semarang ❤️❤️❤️ we stayed in the executive rooms in the 19th floor, twin bed nya lumayan gede cukup buat anak2 juga... the view from our room is amazing! the staffs and facilities in this hotel are excellent. we had dinner in summer restaurant (menu dan taste nya kelas bintang 5 deh ) The best in Semarang ⭐️⭐️⭐️⭐️⭐️ executive lounge nya bagus, bersih dan staffnya juga ramah2 ada cocktail hour juga jam 5-7pm special thanks to Chef sky lee and executive lounge team (eko, ridho, emma, angga) for the warm service for us... You guys are the best!!!! keep up the good work teams!"
Hotel Tentrem Semarang,Aaron Stefan,5.0,"Comfy rooms, complete facility, strategic location, they have malls at lower floorRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Jen,5.0,"My kids love this mall. Besides being the one of newest malls, it has a cool ice skating rink. The Farmers Market at the basement provides really good fresh vegetables especially the salad choices, and fruits, my favorite of which are the blueberries & Korean starwberries!"
Hotel Tentrem Semarang,Celine Marcell Hisani,5.0,Amazing room. Breakfast was splendid! Had lots of local choices and super hygienic. The hotel itself has a beautiful design and the room interior was sleek and elegant. Huge room and clean. Really appreciate the clean towels and sheets. Service was also super swift and friendly. Definitely will be staying here againRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Tentrem Semarang,Imam Kurniawan,4.0,"One nice hotel in Semarang, strategic location, side by side with the mall. New and clean. Friendly service. For the price offered now it is still not in accordance with the room facilities. The parking lot also fused with the mall parking, somewhat difficult, especially when the mall was crowded with visitors. The Touch Screen access lift is not suitable for current pandemic conditions. But overall this hotel is good and worth for visit"
Hotel Tentrem Semarang,Tia Rosmananingrum,5.0,"Modern yet maintain the Central Java traditional value. Cozy and the room is spacious. Food delicious. Located in central Semarang so there are street food vendors nearby. Of course, with all that reason the room rate is pricey but worth it"
Hotel Tentrem Semarang,Faith Vanessa,5.0,"Nice Hotel, Love the smell of the arima therapy in Lobby, so Relaxing 😁😍🙏"
Hotel Tentrem Semarang,Susanto Houtama,5.0,"Spacious room, clean & friendly staffs. Highly recommended to take breakfast, there are various local cuisines to enjoy apart from international breakfast. Don’t forget to try signature Tolak Angin ice cream."
Hotel Tentrem Semarang,adi subagyo,5.0,"Excellent service, located in the heart of the city, rooms are very clean..Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Aaron Ganesh,5.0,"Amazing hotel fantastic food, services and great staffRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
